gamma_sla,gamma_sf,status,objective,cost,cvar_sla,cvar_sf,model_cvar_sla,model_cvar_sf,posthoc_cvar_sla,posthoc_cvar_sf,posthoc_mean_sla_loss,posthoc_mean_sf_loss,posthoc_var_sla,posthoc_var_sf,reported_cvar_sla,reported_cvar_sf,reported_metric_source,posthoc_warning,exp_deliver,elapsed_sec,routing_mode,link_price_mode,pricing_profile,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,scenario_mode,num_scenarios,scenario_guard_failed,umcf_access_sigma,virtual_edge_count,virtual_edge_price_policy,virtual_edge_sigma_policy,error,is_pareto_nondominated,dominated_by
1.0,0.0377,OPTIMAL,-4174.09598684997,1717.9276013766014,1.0,0.0377,1.0,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.059867999982088804,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.0,0.04,OPTIMAL,-4174.09598684997,1717.9276013766014,1.0,0.04,1.0,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.11712909996276721,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.0,0.045,OPTIMAL,-4174.09598684997,1717.9276013766014,1.0,0.045,1.0,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.09927180001977831,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.1,0.03,OPTIMAL,-4060.2661938247893,1429.1636295360256,1.1,0.03,1.1,0.03,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.020938023450586263,1.0,0.020938023450586263,posthoc,,5489.429823360816,0.0530313000199385,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,True,
1.1,0.035,OPTIMAL,-4060.2661938247893,1429.1636295360256,1.1,0.035,1.1,0.035,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.020938023450586263,1.0,0.020938023450586263,posthoc,,5489.429823360816,0.057792200008407235,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,True,
1.1,0.0377,OPTIMAL,-4174.09598684997,1717.9276013766014,1.1,0.0377,1.1,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.05248139996547252,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.1,0.04,OPTIMAL,-4174.09598684997,1717.9276013766014,1.1,0.04,1.1,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.0448024999932386,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.1,0.045,OPTIMAL,-4174.09598684997,1717.9276013766014,1.1,0.045,1.1,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.057304900023154914,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.2,0.03,OPTIMAL,-4060.2661938247893,1429.1636295360256,1.2,0.03,1.2,0.03,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.020938023450586263,1.0,0.020938023450586263,posthoc,,5489.429823360816,0.05199960002209991,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,True,
1.2,0.035,OPTIMAL,-4060.2661938247893,1429.1636295360256,1.2,0.035,1.2,0.035,1.0,0.020938023450586263,0.9999999999999999,0.0020938023450586263,1.0,0.020938023450586263,1.0,0.020938023450586263,posthoc,,5489.429823360816,0.04707669996423647,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,True,
1.2,0.0377,OPTIMAL,-4174.09598684997,1717.9276013766014,1.2,0.0377,1.2,0.0377,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.04546590003883466,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.2,0.04,OPTIMAL,-4174.09598684997,1717.9276013766014,1.2,0.04,1.2,0.04,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.05081440001958981,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
1.2,0.045,OPTIMAL,-4174.09598684997,1717.9276013766014,1.2,0.045,1.2,0.045,1.0,0.03768844221105527,0.9999999999999999,0.0037688442211055275,1.0,0.03768844221105527,1.0,0.03768844221105527,posthoc,,5892.023588226573,0.061948000045958906,per_task_od,uniform,uniform,1.3,0.8,8,2,0.4,macro3,3,False,0.99,0,uniform@scale=1,n/a,,False,gamma_sla=1.0;gamma_sf=0.03
