gamma_sla,gamma_sf,bilevel_status,bilevel_placement_code,bilevel_cost,bilevel_cvar_sla,bilevel_cvar_sf,bilevel_edel,bilevel_feasible_count,bilevel_evaluated_count,bilevel_runtime_sec,single_status,single_placement_code,single_cost,single_cvar_sla,single_cvar_sf,placement_match,cost_gap,cvar_sla_gap,cvar_sf_gap
0.05,0.025,OPTIMAL,CCC,0.84,0.049875000000000204,0.02499999999999997,5.969999999999991,1,27,1.935712999998941,OPTIMAL,CCC,0.84,0.04987500000000019,0.024999999999999963,1,0.0,1.3877787807814457e-17,6.938893903907228e-18
0.05,0.5125,OPTIMAL,CCC,0.84,0.049875000000000204,0.02499999999999997,5.969999999999991,1,27,1.775347700000566,OPTIMAL,CCC,0.84,0.04987500000000019,0.024999999999999963,1,0.0,1.3877787807814457e-17,6.938893903907228e-18
0.05,1.0,OPTIMAL,AAA,0.12,0.04987500000000026,1.0,5.969999999999994,2,27,1.8104539000014483,OPTIMAL,AAA,0.12,0.04987500000000025,1.000000000000001,1,0.0,6.938893903907228e-18,-1.1102230246251565e-15
0.525,0.025,OPTIMAL,CCC,0.84,0.049875000000000204,0.02499999999999997,5.969999999999991,1,27,1.8130388999998104,OPTIMAL,CCC,0.84,0.04987500000000019,0.024999999999999963,1,0.0,1.3877787807814457e-17,6.938893903907228e-18
0.525,0.5125,OPTIMAL,ACC,0.6,0.0992524968750002,0.3416666666666667,5.969999999999993,4,27,1.8043543999992835,OPTIMAL,CAC,0.6,0.0992524968750002,0.3416666666666667,0,0.0,0.0,0.0
0.525,1.0,OPTIMAL,AAA,0.12,0.04987500000000026,1.0,5.969999999999994,8,27,1.7941418000009435,OPTIMAL,AAA,0.12,0.04987500000000025,1.000000000000001,1,0.0,6.938893903907228e-18,-1.1102230246251565e-15
1.0,0.025,OPTIMAL,CCC,0.84,0.049875000000000204,0.02499999999999997,5.969999999999991,1,27,1.7696556000009878,OPTIMAL,CCC,0.84,0.04987500000000019,0.024999999999999963,1,0.0,1.3877787807814457e-17,6.938893903907228e-18
1.0,0.5125,OPTIMAL,ABB,0.14,0.990398750000003,0.35000000000000003,5.589999999999962,20,27,1.7824213999992935,OPTIMAL,BBA,0.14,0.9903987500000027,0.35000000000000003,0,0.0,3.3306690738754696e-16,0.0
1.0,1.0,OPTIMAL,AAA,0.12,0.04987500000000026,1.0,5.969999999999994,27,27,1.7540902000000642,OPTIMAL,AAA,0.12,0.04987500000000025,1.000000000000001,1,0.0,6.938893903907228e-18,-1.1102230246251565e-15
