routing_mode,num_tasks,optimal_points,infeasible_points,cvar_sla_min,cvar_sla_max,cvar_sf_min,cvar_sf_max,cost_min,cost_max,acceptance_pass,virtual_edge_count,umcf_access_sigma,virtual_edge_price_policy,virtual_edge_sigma_policy,notes
per_task_od,8,9,0,0.04000000000000001,0.06,0.018000000000000002,0.022,235.40620290714168,243.99593806946487,True,0,0.99,inverse_capacity@scale=1,n/a,
umcf_global,8,9,0,0.04000000000000001,0.06,0.018000000000000002,0.022,232.54873634945397,241.42873634945397,True,24,0.99,inverse_capacity@scale=1,"global_Vs_Vt@access=0.99,sink=0.99",
umcf_per_task,8,9,0,0.04000000000000001,0.06,0.018000000000000002,0.022,232.54873634945397,241.42873634945397,True,192,0.99,inverse_capacity@scale=1,per_task_virtual_edges@access=0.99,
