gamma_sla,gamma_sf,status,objective,cost,cvar_sla,cvar_sf,exp_deliver,elapsed_sec,routing_mode,eta,scenario_s1_link_sigma,num_tasks,min_off_hub,s2_derate,error
0.04000000000000001,0.04792294807370184,OPTIMAL,-8015.812990076539,317.18700992345833,0.04000000000000001,0.04792294807370184,8332.999999999996,0.1877608000067994,per_task_od,1.3,0.8,11,2,0.4,
0.04000000000000001,0.0574036850921273,OPTIMAL,-8015.812990076539,317.18700992345833,0.04000000000000001,0.0574036850921273,8332.999999999996,0.17655630002263933,per_task_od,1.3,0.8,11,2,0.4,
0.04000000000000001,0.06688442211055276,OPTIMAL,-8015.812990076539,317.18700992345833,0.04000000000000001,0.06688442211055276,8332.999999999996,0.2055570000084117,per_task_od,1.3,0.8,11,2,0.4,
0.05,0.04792294807370184,OPTIMAL,-8015.812990076539,317.18700992345833,0.05,0.04792294807370184,8332.999999999996,0.2407969000050798,per_task_od,1.3,0.8,11,2,0.4,
0.05,0.0574036850921273,OPTIMAL,-8015.812990076539,317.18700992345833,0.05,0.0574036850921273,8332.999999999996,0.2193820999818854,per_task_od,1.3,0.8,11,2,0.4,
0.05,0.06688442211055276,OPTIMAL,-8015.812990076539,317.18700992345833,0.05,0.06688442211055276,8332.999999999996,0.21964880003361031,per_task_od,1.3,0.8,11,2,0.4,
0.06,0.04792294807370184,OPTIMAL,-8015.812990076539,317.18700992345833,0.06,0.04792294807370184,8332.999999999996,0.21608320000814274,per_task_od,1.3,0.8,11,2,0.4,
0.06,0.0574036850921273,OPTIMAL,-8015.812990076539,317.18700992345833,0.06,0.0574036850921273,8332.999999999996,0.22444089996861294,per_task_od,1.3,0.8,11,2,0.4,
0.06,0.06688442211055276,OPTIMAL,-8015.812990076539,317.18700992345833,0.06,0.06688442211055276,8332.999999999996,0.28325380000751466,per_task_od,1.3,0.8,11,2,0.4,
