gamma_sla,gamma_sf,status,objective,cost,cvar_sla,cvar_sf,exp_deliver,elapsed_sec,routing_mode,eta,scenario_s1_link_sigma,num_tasks,error
0.04000000000000001,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.04000000000000001,0.018000000000000002,8333.0,0.14202410000143573,per_task_od,1.3,0.8,8,
0.04000000000000001,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.04000000000000001,0.02,8333.0,0.13283890002639964,per_task_od,1.3,0.8,8,
0.04000000000000001,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.04000000000000001,0.022,8333.0,0.13061290001496673,per_task_od,1.3,0.8,8,
0.05,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.05,0.018000000000000002,8333.0,0.1394166000536643,per_task_od,1.3,0.8,8,
0.05,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.05,0.02,8333.0,0.1619335999712348,per_task_od,1.3,0.8,8,
0.05,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.05,0.022,8333.0,0.16177999996580184,per_task_od,1.3,0.8,8,
0.06,0.018000000000000002,OPTIMAL,-8097.593797092857,235.40620290714168,0.06,0.018000000000000002,8333.0,0.1361443000496365,per_task_od,1.3,0.8,8,
0.06,0.02,OPTIMAL,-8097.593797092857,235.40620290714168,0.06,0.02,8333.0,0.16226529999403283,per_task_od,1.3,0.8,8,
0.06,0.022,OPTIMAL,-8089.004061930535,243.99593806946487,0.06,0.022,8333.0,0.22335749998455867,per_task_od,1.3,0.8,8,
