lambda_sla,lambda_sf,omega,status,optimal,cost,CVaR_SLA,CVaR_sf,placement
0.5,0.0,1.0,2,1,3810.000000,0.000000,0.000000,0:10
0.5,0.5,1.0,2,1,3810.000000,0.000000,0.913907,0:10
0.5,2.0,1.0,2,1,3810.000000,0.000000,0.913907,0:10
0.5,10.0,1.0,2,1,3810.000000,0.000000,0.913907,0:10
0.5,50.0,1.0,2,1,3810.000000,0.000000,0.913907,0:10
0.5,200.0,1.0,2,1,3810.000000,0.000000,0.913907,0:10
0.5,2000.0,1.0,2,1,4570.000000,0.000000,0.490066,"0:8, 1:2"
0.5,5000.0,1.0,2,1,4680.000000,0.000000,0.463576,"0:7, 1:3"
